English,Persian
scholars,عالمان
dpi,DPI
scripting,برنامه نویسی
gis,جنجال
remembered,به یادگار
galaxy,کهکشان
chester,چستر
snapshot,عکس فوری
caring,مراقبت
loc,محل
worn,پوشیده
synthetic,وابسته به مصنوعی
shaw,شاو
vp,VP
segments,بخش
testament,عهد
expo,نمایشگاه
dominant,غالب
twist,پیچ - پیچیدن
specifics,مشخصات
itunes,ایتونز
stomach,معده
partially,تا اندازه ای
buried,دفن شده
cn,CN
newbie,تازه کار
minimize,به حداقل رساندن
darwin,داروین
ranks,رتبه
wilderness,بیابان
debut,شروع کردن - آغاز - اولین
generations,نسل ها
tournaments,مسابقات
bradley,زن
deny,انکار
anatomy,تشبیه
bali,بالی
judy,جودو
sponsorship,حمایت
headphones,هدف
fraction,کسر
trio,سه نفری
proceeding,اقدام
cube,مکعب
defects,عیوب
volkswagen,فولکس واگن
uncertainty,عدم قطعیت
breakdown,درهم شکستن
milton,میلتون
marker,نشانگر
reconstruction,بازسازی
subsidiary,شرکت تابعه
strengths,نقاط قوت
clarity,وضوح
rugs,فرش
sandra,ساندرا
adelaide,عیاشی
encouraging,دلگرم کننده
furnished,مبله شده
monaco,موناکو
settled,مستقر شده
folding,تاشو
emirates,اماس
terrorists,تروریست
airfare,هواپیما
comparisons,مقایسه
beneficial,سودمند
distributions,توزیع
vaccine,واکسن
belize,بلیز
crap,چرندیات
fate,سرنوشت
viewpicture,تصویر
promised,موعود
volvo,ولوو
penny,پنی
robust,قدرتمند
bookings,رزرو
threatened,تهدید
minolta,مازولا
republicans,جمهوریخواهان
discusses,مباحث
gui,گسی
porter,درگاه
gras,گرگ
jungle,جنگل
ver,حوزه
rn,RN
responded,پاسخ داد
rim,حاشیه
abstracts,چکیده ها
zen,روی
ivory,عاج
alpine,الپین
dis,با استفاده از
prediction,پیش بینی
pharmaceuticals,داروهای دارویی
andale,یک
fabulous,شگفت آور
remix,ریمیکس
alias,نام مستعار
thesaurus,اصطلاحنامه
individually,به طور جداگانه
battlefield,میدان جنگ
literally,به معنای واقعی کلمه
newer,جدیدتر
kay,کیر
ecological,وابسته به محیط زیست
spice,ادویه
oval,بیضی شکل
implies,دلالت دارد
cg,CG
soma,سوما
ser,سرور
cooler,خنک کننده
appraisal,ارزیابی
consisting,شامل
maritime,دریایی
periodic,تناوبی
submitting,تسلیم
overhead,در بالای سر
ascii,عکسبرداری
prospect,چشم انداز
shipment,حمل
breeding,پرورش
citations,استناد
geographical,جغرافیایی
donor,اهدا کننده
mozambique,موزامبیک
tension,تنش
href,هف
benz,بنزین
trash,زباله ها
shapes,شکل ها
wifi,وای فای
tier,ردیف
fwd,FWD
earl,ایل
manor,منظر
envelope,پاكت نامه
diane,دایان
homeland,میهن
disclaimers,سلب مسئولیت
championships,مسابقات قهرمانی
excluded,مستثنی
andrea,آندره
breeds,نژاد
rapids,رپیدز
disco,دیسکو
sheffield,شفیلد
bailey,بیلی
aus,اذیان
endif,خاتمه
finishing,به پایان رساندن
emotions,احساسات
wellington,ولینگتون
incoming,مقطع
prospects,چشم انداز
lexmark,لکس مارک
cleaners,پاک کننده
bulgarian,وابسته به بلغاری
hwy,هوی
eternal,ابدی
cashiers,صندوقدار
guam,گام
cite,استناد کردن
aboriginal,وابسته به بومی
remarkable,قابل توجه
rotation,چرخش
nam,نام
preventing,از پیش
productive,سازنده
boulevard,بلوار
eugene,ارباب
ix,IX
gdp,تولید ناخالص ملی
pig,خوک
metric,متریک
compliant,سازگار
minus,منهای
penalties,مجازاتها
bennett,بنت
imagination,خیال پردازی
hotmail,گلخانه
refurbished,مرمت شده
joshua,جوشوا
armenia,ارمنی
varied,متنوع
grande,بزرگ
closest,نزدیکترین
activated,فعال
actress,بازیگر
mess,بهم ریختگی
conferencing,کنفرانس
assign,اختصاص دادن
armstrong,زره پوش
politicians,سیاستمداران
trackbacks,بازپرداخت
lit,روشن
accommodate,تطبیق
tigers,ببرها
aurora,شفق قطبی
una,بی نظمی
slides,اسلایدها
milan,میسن
premiere,برتر
lender,وام دهنده
villages,روستاها
shade,سایه
chorus,گروه کر
christine,کریستین
rhythm,ریتم
digit,رقم
argued,استدلال
dietary,غذایی
symphony,سمفونی
clarke,کلاکه
sudden,ناگهانی
accepting,پذیرش
precipitation,ته نشینی
marilyn,مریلین
lions,شیرها
findlaw,یار کردن
ada,ADA
pools,استخر
tb,سل
lyric,متن آهنگ
claire,کلیر
isolation,انزوا
speeds,سرعت
sustained,پایدار
matched,تطبیق
approximate,تقریبی
rope,طناب
carroll,کارول
rational,گویا
programmer,برنامه نویس
fighters,جنگجویان
chambers,خانه
dump,زباله
greetings,با درود
inherited,به ارث برده
warming,گرم شدن
incomplete,ناقص
vocals,صدا
chronicle,تاريخچه
fountain,آبنما
chubby,چاق و چله
grave,قبر
legitimate,مشروع
biographies,زندگی نامه ها
burner,مشعل
yrs,سال
foo,فحش
investigator,محقق
gba,GBA
plaintiff,شاکی
finnish,فنلاندی
gentle,لطیف
bm,BM
prisoners,زندانیان
deeper,عمیق تر
muslims,مسلمانان
hose,شلنگ
mediterranean,مدیترانه
nightlife,زندگی شبانه
footage,فیلم
howto,چگونه
worthy,شایسته
reveals,فاش
architects,معماران
saints,مقدسین
entrepreneur,کارآفرین
carries,حمل
sig,غوغا
freelance,آزاد
duo,دوتایی
excessive,بیش از اندازه
devon,دون
screensaver,نگهبان صفحه نمایش
helena,هلنا
saves,پس انداز کردن
regarded,مورد توجه
valuation,ارزش
unexpected,غیر منتظره
cigarette,سیگار
fog,مه
characteristic,مشخصه
marion,ماریون
lobby,لابی
egyptian,مصری
tunisia,تونس
metallica,متالیکا
outlined,تشریح شده
consequently,در نتیجه
headline,عنوان
treating,معالجه
punch,مشت
appointments,انتصابات
str,str
gotta,گیتا
cowboy,کابوس
narrative,روایت
bahrain,بحرین
enormous,عظیم
karma,کارما
consist,تشکیل شده است از
betty,بیزاری
queens,ملکه
academics,دانشگاهیان
pubs,بارهای
quantitative,مقداری
shemales,شیمل
lucas,لواس
screensavers,صفحه نمایش
subdivision,زير مجموعه
tribes,قبایل
vip,شخص خیلی مهم
defeat,شکست
clicks,کلیک می کند
distinction,فرق - تمیز - تشخیص
honduras,هندوراس
naughty,شیطان
hazards,خطرات
insured,بیمه شده
harper,جنجال
livestock,دام
mardi,ماردی
exemption,معافیت
tenant,مستاجر
sustainability,پایداری
cabinets,کابینت
tattoo,خال کوبی
shake,تکان دادن
algebra,جبر
shadows,سایه ها
holly,هالی
formatting,قالب بندی
silly,احمقانه
nutritional,غذایی
yea,بله
mercy,رحمت
hartford,هارتفورد
freely,آزادانه
marcus,مارکوس
sunrise,طلوع خورشید
wrapping,کاغذ بسته بندی
mild,خفیف
fur,خز
nicaragua,نیکاراگوئه
weblogs,وبلاگ
timeline,جدول زمانی
tar,قیر
belongs,متعلق است
rj,RJ
readily,به راحتی
affiliation,وابستگی
soc,سام
fence,حصار
nudist,نودست
infinite,بي نهايت
diana,دیانا
ensures,تضمین کردن
relatives,بستگان
lindsay,لندسی
clan,قبیله
legally,قانونی
shame,شرم
satisfactory,رضایتبخش
revolutionary,انقلابی
bracelets,دستبند
sync,همگام سازی
civilian,غیرنظامی
telephony,تلفن
mesa,ماسا
fatal,کشنده
remedy,درمان
realtors,مسکن
breathing,نفس كشيدن
briefly,به طور خلاصه
thickness,ضخامت
adjustments,تنظیمات
graphical,گرافیکی
genius,نبوغ
discussing,مباحث
aerospace,هوافضا
fighter,جنگنده
meaningful,معنی دار
flesh,گوشت
retreat,عقب نشینی
adapted,سازگار
barely,به سختی
wherever,هر کجا که
estates,املاک
rug,قالیچه
democrat,دموکرات
borough,ولگرد
maintains,حفظ کردن
failing,ناکام
shortcuts,میانبرها
ka,کاخ
retained,باقی مانده
voyeurweb,ویورووی
pamela,پاملا
andrews,اندرو
marble,سنگ مرمر
extending,تمدید کننده
jesse,جسی
specifies,مشخص کردن
hull,بدنە ضد آب شناور
logitech,لگد
surrey,سورری
briefing,خلاصه سازی
belkin,خیطک
dem,دیم
accreditation,اعتبارسنجی
wav,موج دار
blackberry,توت سیاه
highland,کوهستانی
meditation,مراقبه
modular,ماژولار
microphone,میکروفن
macedonia,مقدونیه
combining,ترکیب
brandon,براندون
instrumental,وسیله
giants,غول
organizing,سازماندهی
shed,دهنه
balloon,بادکنک
moderators,تعدیل کننده
winston,وینستون
memo,یادداشت
ham,ژامبون
solved,حل کرد
tide,جزر و مد
kazakhstan,قزاقستان
hawaiian,هاوایی
standings,جدول
partition,تقسیم بندی
invisible,نامرئی
gratuit,مفتار
consoles,کنسول
funk,غوغا
fbi,FBI
qatar,قطر
magnet,آهن ربا
translations,ترجمه
porsche,پورشه
cayman,کیمن
jaguar,جگوار
reel,قرقره
sheer,خالص، ناب
commodity,کالا
posing,مطیع
wang,گودال
kilometers,کیلومتر
rp,RP
bind,بستن
thanksgiving,شکرگذاری
rand,سر
hopkins,هاپکینز
urgent,فوری
guarantees,ضمانت کردن
infants,نوزادان
gothic,گوتیک
cylinder,سیلندر
witch,جادو کردن
buck,باس
indication,نشانه
eh,اره
congratulations,تبریک می گویم
tba,TBA
cohen,قمار
sie,سوی
usgs,USGS
puppy,توله سگ
kathy,کتی
acre,هکتار
graphs,نمودار
surround,احاطه
cigarettes,سیگار
revenge,انتقام گرفتن
expires,منقضی شدن
enemies,دشمن
lows,پایین
controllers,کنترل کننده
aqua,ابک
chen,چل
emma,امات
consultancy,مشورت
finances,امور مالی
accepts,قبول کردن
enjoying,لذت بخش
conventions,کنوانسیون
eva,اوا
patrol,گشت
smell,بو
pest,آفت
hc,HC
italiano,ایتالیایی
coordinates,هماهنگی
rca,RCA
fp,FP
carnival,کارناوال
roughly,تقریباً
sticker,استیکر
promises,وعده
responding,پاسخ دهنده
reef,تپه دریایی
physically,از نظر جسمی
divide,تقسیم کردن
stakeholders,سهامداران
hydrocodone,هیدروکودون
gst,GST
consecutive,متوالی
cornell,کورنل
satin,ساتن
bon,در
deserve,سزاوار
attempting,تلاش
mailto,پست
promo,تفرجگاه
jj,jj
representations,بازنمودها
chan,چرند
worried,نگران
tunes,آهنگ
garbage,زباله
competing,رقابت
combines,ترکیب کردن
mas,ماسه
beth,بیت
bradford,ارباب
len,لن
phrases,عبارات
kai,کای
peninsula,شبه جزیره
chelsea,چلسی
boring,حوصله سر بر
reynolds,رینولدز
dom,دوران
jill,جنجال
accurately,به درستی
speeches,سخن
reaches,بر
schema,طرح
considers,در نظر می گیرد
sofa,کاناپه
catalogs,کاتالوگ
ministries,وزارتخانه ها
vacancies,جای خالی
quizzes,مورد
parliamentary,مجلس
obj,تحقیر کردن
prefix,پیشوند
lucia,لوسیا
savannah,ساوی
barrel,هرزه
typing,تایپ کردن
nerve,عصب
dans,دونس
planets,سیارات
deficit,کمبود
boulder,تخته سنگ
pointing,اشاره
renew,تمدید کردن
coupled,همراه
viii,ششم
myanmar,میانمار
metadata,ابرداده
harold,هارولد
circuits,مدارها
floppy,فلاپی
texture,بافت
handbags,کیف دستی
jar,شیشه
ev,عید
somerset,سامر
incurred,وارد آمده
acknowledge,اذعان
thoroughly,کاملاً
antigua,آنتیگوا
nottingham,ناتینگهام
thunder,رعد و برق
tent,چادر
caution,احتیاط
identifies,مشخص کردن
questionnaire,پرسشنامه
qualification,صلاحیت
locks,قفل
modelling,مدل سازی
namely,برای مثال
miniature,مینیاتور
dept,اداره کردن
hack,هک
dare,جرات داشتن
euros,یورو
interstate,بین ایالتی
pirates,دزد دریایی
aerial,هوایی
hawk,شاهین
consequence,نتیجه
rebel,شورش
systematic,نظام
perceived,درک شده
origins,ریشه
hired,استخدام شده
makeup,آرایش
textile,منسوجات
lamb,گوشت بره
madagascar,ماداگاسکار
nathan,ناتان
tobago,توباگو
presenting,ارائه دهنده
cos,جبهه
troubleshooting,عیب یابی
uzbekistan,ازبکستان
indexes,فهرست
pac,جبهه
rl,RL
erp,ERP
centuries,قرن قرن
gl,گل
magnitude,اندازه
ui,رابط
richardson,ریچاردسون
hindu,هندوها
dh,DH
fragrances,عطف
vocabulary,واژگان
licking,لیس زدن
earthquake,زمين لرزه
vpn,VPN
fundraising,جذب سرمایه
fcc,FCC
markers,نشانگر
weights,وزن
albania,آلبانی
geological,وابسته به زمین شناسی
assessing,ارزیابی
lasting,بادوام
wicked,شرور
eds,ویرایش
introduces,معرفی کردن
kills,کشتن
roommate,هم اتاقی
webcams,وب کم
pushed,تحت فشار
webmasters,مدیر وب
ro,رگ
df,DF
computational,محاسباتی
acdbentity,قصوت
participated,شرکت کرده
junk,جنس اوراق و شکسته
handhelds,دستی
wax,موم
lucy,لوسی
answering,پاسخ دادن
hans,هانس
impressed,تحت تاثیر قرار
slope,شیب
reggae,رگی
failures,ناکامی
poet,شاعر
conspiracy,توطئه
surname,نام خانوادگی
theology,الهیات
nails,ناخن ها
evident,مشهود
whats,چه
rides,سوار شدن
rehab,احیاء
epic,حماسه
saturn,زحل
organizer,تنظیم کننده
nut,مهره
allergy,حساسیت
sake,منظور
twisted,پیچ خورده
combinations,ترکیبات
preceding,قبلی
merit,شایستگی
enzyme,آنزیم
cumulative,انباشته
zshops,ZSHOPS
planes,هواپیمای
edmonton,ادمتون
tackle,برخورد با
disks,دیس
condo,کاندوم
pokemon,گودال
amplifier,تقویت کننده
ambien,ممتاز
arbitrary,خودسرانه
prominent,برجسته
retrieve,پس گرفتن
lexington,لکسینگتون
vernon,ورنون
sans,عید
worldcat,کیهان جهان
titanium,تیتانیوم
irs,IRS
fairy,پری
builds,ساخت
contacted,تماس گرفته
shaft,شفت
lean,تکیه دادن
bye,خدا حافظ
cdt,cdt
recorders,ضبط کننده
occasional,گاه
leslie,لسلی
casio,کاسه
deutsche,دویچه
ana,آنا
postings,ارسال
innovations,نوآوری ها
kitty,بچه گربه
postcards,کارت پستال
dude,شخص
drain,زه کشی
monte,مونت
fires,آتش سوزی
algeria,الجزایر
blessed,مبارک
luis,لوئیس
reviewing,مرور
cardiff,کاردت
cornwall,کور
favors,نعمت
potato,سیب زمینی
panic,وحشت
explicitly,صریح
sticks,چوب
leone,لون
transsexual,جنسی
ez,ادم
citizenship,شهروندی
excuse,بهانه
reforms,اصلاحات
basement,زیر زمین
onion,پیاز
strand,رشته
pf,PF
sandwich,ساندویچ
uw,uW
lawsuit,طرح دعوی در دادگاه
alto,alto
informative,آموزنده
girlfriend,دوست دختر
bloomberg,بلومبرگ
cheque,بررسی
hierarchy,سلسله مراتب
influenced,تحت تأثیر
banners,پرچم
reject,رد کردن
eau,در
abandoned,متروکه
bd,BD
circles,محافل
italic,وابسته به ایتالیایی
beats,ضرب
merry,خوش
mil,مگس
scuba,گودال
gore,گور
complement,متمم
cult,فرقه
dash,خط تیره
passive,منفعل
mauritius,موریس
valued,ارزش
cage,قفس
checklist,چک لیست
bangbus,بنگبوس
requesting,درخواست
courage,شجاعت
verde,ورد
lauderdale,لودردیل
scenarios,سناریوها
gazette,روزنامه
hitachi,هیتاچی
divx,لقمه
extraction,استخراج
batman,خجالتی
elevation,ارتفاع
hearings,شنیدن
coleman,کولمن
hugh,هیو
lap,سر خوردن
utilization,استفاده
beverages,نوشابه
calibration,تنظیم
jake,جیک
eval,ارزیابی
efficiently,کارآمد
anaheim,عسلی
ping,پینگ
textbook,کتاب درسی
dried,خشک شده
entertaining,سرگرم کننده
prerequisite,پيش نياز
luther,لول
frontier,مرزی
settle,حل کن
stopping,توقف
refugees,پناهندگان
knights,شوالیه
hypothesis,فرضیه
palmer,کف دست
medicines,داروها
flux,جریان
derby,شهرآورد
sao,سائو
peaceful,مسالمت آمیز
altered,تغییر یافته
pontiac,پنتیاک
regression,پسرفت
doctrine,دکترین
scenic,خوش منظره
trainers,مربی
muze,موز
enhancements,پیشرفت
renewable,تجدید پذیر
intersection,تقاطع
passwords,رمزهای عبور
sewing,خیاطی
consistency,ثبات
collectors,جمع کننده
conclude,نتیجه گرفتن
recognized,شناسایی شده
munich,مونیخ
oman,عموم
celebs,غوغا
gmc,GMC
propose,پیشنهاد کردن
hh,HH
azerbaijan,آذربایجان
lighter,فندک
rage,خشم
adsl,ADSL
uh,اوه
prix,جایزه
astrology,طالع بینی
advisors,مشاور
pavilion,غرفه
tactics,سدتها
trusts,اعتماد
occurring,اتفاق افتاده
supplemental,تکمیلی
travelling,سفر
talented,با استعداد
annie,آنی
pillow,بالش
induction,القاء
derek,درس
precisely,دقیق
shorter,کوتاه
harley,هارلی
spreading,گسترده
provinces,استانها
relying,متکی
finals,فینال
paraguay,پاراگوئه
steal,کش رفتن
parcel,بسته
refined,تصفیه شده
fd,FD
bo,رفیق
fifteen,پانزده
widespread,بطور گسترده
incidence,وقوع
fears,ترس
predict,پیش بینی
boutique,بوتیک
acrylic,اکریلیک
rolled,نورد
tuner,تیونر
avon,اب
incidents,حوادث
peterson,اهل کشور
rays,اشعه
asn,asn asn
shannon,شانون
toddler,کودک نو پا
enhancing,تقویت کننده
flavor,طعم
alike,یکسان
walt,ورم
homeless,بی خانمان
horrible,ناگوار
hungry,گرسنه
metallic,فلزی
acne,آکنه
blocked,مسدود
interference,دخالت
warriors,جنگجو
palestine,فلسطین
listprice,فهرست قیمت
libs,لیز
undo,خنثی کردن
cadillac,کادی
atmospheric,جوی
malawi,مالاوی
wm,wm
pk,پک
sagem,ساقه
knowledgestorm,طغیان
dana,دانا
halo,هاله
ppm,PPM
curtis,کرتیس
parental,والدین
referenced,ارجاع شده
strikes,اعتصاب
lesser,کمتر
publicity,تبلیغات
marathon,ماراتن
ant,مورچه
proposition,قضیه
gays,همجنسگرایان
pressing,فشار
gasoline,گازوئیل
apt,مناسب
dressed,لباس پوشیده
scout,دیده بانی
belfast,بلفاست
exec,اعطا کردن
dealt,سر و صدا کردن
niagara,نیاگارا
inf,Inf
eos,ائوس
warcraft,جنگی
charms,جذابیت
catalyst,کاتالیزور
trader,معامله گر
bucks,کنگره
allowance,کمک هزینه
vcr,VCR
denial,انکار
uri,اری
designation,تعیین
thrown,پرتاب
prepaid,پیش پرداخت شده
raises,افزایش
gem,گوه
duplicate,دورامی
electro,الکترو
criterion,ملاک
badge,نشان
wrist,مچ دست
civilization,تمدن
analyzed,مورد تحلیلی
vietnamese,وابسته به ویتنامی
heath,سیت
tremendous,عظیم
ballot,ورقه رای
lexus,لکسوس
varying,مختلف
remedies,راه های درمانی
validity,اعتبار
trustee,متولی
maui,ماوایی
handjobs,دستگیره
weighted,وزنی
angola,وابسته به آنگولا
squirt,چاک
performs,انجام دادن
plastics,پلاستیک
realm,قلمرو
corrected,اصلاح شده
jenny,جنی
helmet,کلاه ایمنی
salaries,حقوق
postcard,کارت پستال
elephant,فیل
yemen,یر
encountered,مواجه شده
tsunami,سونامی
scholar,محقق
nickel,نیکل
internationally,بین المللی
surrounded,احاطه شده
psi,PSI
buses,اتوبوس
expedia,سوگند
geology,زمين شناسي
pct,PCT
wb,WB
creatures,موجودات
coating,روکش
commented,اظهار نظر
wallet,کیف پول
cleared,پاک
smilies,لبخند
vids,وراث
accomplish,انجام دادن
boating,قایقرانی
drainage,زه کشی
shakira,ساحلی
corners,گوشه
broader,گسترده تر
vegetarian,گیاه خواری
rouge,رژ گونه
yeast,مخمر
yale,ییل
newfoundland,نیوفاند لند
sn,sn
qld,qld
pas,درز
clearing,پاکسازی
investigated,مورد بررسی
dk,DK
ambassador,سفیر
coated,روکش شده
intend,قصد داشتن - خواستن
stephanie,استفانی
contacting,تماس
vegetation,زندگی گیاهی
doom,عذاب
findarticles,رده بندی
louise,لوئیز
kenny,کنی
specially,ویژه
owen,اووون
routines,کارهای روزمره
hitting,ضربه دار
yukon,یوکان
beings,موجودات
bite,نیش
issn,باسن
aquatic,آبزی
reliance,اتکاء
habits,عادات
striking,قابل توجه، برجسته، موثر
myth,اسطوره
infectious,عفونی
podcasts,پادکست ها
singh,سینه
gig,گنگ
gilbert,گیلبرت
sas,ساس
ferrari,ماشین فراری
continuity,تداوم
brook,نهر
fu,مد
outputs,خروجی ها
phenomenon,پدیده
ensemble,گروه
insulin,انسولین
assured,خاطر جمع
biblical,کتاب مقدس
weed,علف هرز
conscious,هوشیار، آگاه
accent,لهجه
mysimon,ماسیمون
eleven,یازده
wives,همسران
ambient,محیط
utilize,استفاده کردن از
mileage,مسافت پیموده شده
oecd,OECD
prostate,پروستات
adaptor,آداپتور
auburn,قورباغه
unlock,باز کردن
hyundai,هیوندای
pledge,سوگند - تعهد
vampire,خون آشام
angela,آنجلا
relates,در رابطه
nitrogen,نیتروژن
xerox,زرکس
dice,تاس
merger,ادغام
softball,گوزنهای سافت
referrals,ارجاع
quad,چهار ضلع
dock,اسکله
differently,نسبتا
firewire,آتش سوزی
mods,حالت
nextel,بعدی
framing,کادر بندی
organized,سازمان یافته
musician,نوازنده
blocking,مسدود کننده
rwanda,رواندا
sorts,انواع
integrating,ادغام کننده
vsnet,vsnet
limiting,محدود کننده
dispatch,ارسال
revisions,تجدید نظر
papua,پاوا
restored,مرمت شده
hint,اشاره
armor,زره
riders,سوارکار
chargers,شارژ کننده
remark,اظهار
dozens,دهها
varies,متفاوت است
msie,خانم
reasoning,استدلال
wn,wn
liz,لیز
rendered,ارائه شده
picking,انتخاب
charitable,خیریه
guards,نگهبانان
annotated,حاشیه نویسی
ccd,CCD
sv,SV
convinced,متقاعد
openings,دهانه
buys,خریدن
burlington,برلینگتون
replacing,تعویض
researcher,محقق
watershed,آبخیزداری
councils,شوراها
occupations,مشاغل
acknowledged,تصدیق شده
nudity,برهنگی
kruger,کروگر
pockets,جیب
granny,مادربزرگ
pork,گوشت خوک
zu,Zu
equilibrium,تعادل
viral,ویروسی
inquire,جویا شدن
pipes,لوله های
characterized,مشخص
laden,مملو
aruba,آروبا
cottages,کلبه
realtor,دلال معاملات ملکی
merge,ادغام
privilege,امتیاز
edgar,عیاشی
develops,توسعه دادن
qualifying,واجد شرایط
chassis,شاسی
dubai,دبی
estimation,برآورد کردن
barn,انبار غله
pushing,فشار
llp,LLP
fleece,پشم گوسفند
pediatric,وابسته به کودکان
boc,بوچ
fare,کرایه
dg,DG
asus,ایس
pierce,سوراخ کردن
allan,عیاش
dressing,تزئین
techrepublic,وابسته به فن آوری
sperm,اسپرم
vg,VG
bald,بدون مو
filme,فیلم
craps,چرند
fuji,قصبه
frost,سرمازدگی
leon,لون
institutes,موسسه
mold,قالب
dame,نام
fo,فحش
sally,سالی
yacht,قایق بادبانی
tracy,عجیبی
prefers,ترجیح می دهد
drilling,حفاری
brochures,بروشور
herb,گیاه دارویی
tmp,TMP
alot,زیاد
ate,خوردن
breach,رخنه
whale,نهنگ
traveller,رهگذر
appropriations,تخصیص
suspected,مظنون
tomatoes,گوجه فرنگیها
benchmark,معیار
beginners,مبتدی
instructors,مربیان
highlighted,برجسته
bedford,بدفورد
stationery,لوازم التحرير
idle,بیکار
mustang,موستانگ
unauthorized,غیرمجاز
clusters,خوشه
antibody,پادتن
competent,صالح
momentum,تکانه
fin,باله
wiring,سیم کشی
io,من
pastor,کشیش
mud,گل و لای
calvin,کالوین
uni,یکپارچه
shark,کوسه
contributor,همکار
demonstrates,نشان دادن
phases,فاز
grateful,سپاسگزار
emerald,زمرد
gradually,به تدریج
laughing,خندیدن
grows,رشد کردن
cliff,صخره
desirable,مطلوب
tract,قطعه
ul,ul
ballet,باله
ol,همه چیز
journalist,روزنامه نگار
abraham,ابراهیم
js,js
bumper,سپر
afterwards,پس از آن
webpage,صفحه وب
religions,ادیان
garlic,سیر
hostels,خوابگاه
shine,درخشش
senegal,سنگال
explosion,انفجار
pn,PN
banned,ممنوع
wendy,وندی
briefs,خلاصه
signatures,امضای
diffs,تفاوت
cove,خور
mumbai,وابسته به بمبئی
ozone,ازن
disciplines,رشته ها
casa,کاسا
mu,ماوراء
daughters,دختران
conversations,گفتگو
radios,رادیو
tariff,تعرفه
nvidia,نویدیا
opponent,مخالف
pasta,ماکارونی
simplified,ساده شده
muscles,عضلات
serum,سرم
wrapped,پیچیده
swift,سریع
motherboard,مادربرد
runtime,زمان اجرا
inbox,صندوق ورودی
focal,کانونی
bibliographic,وابسته به کتابفروشی
vagina,واژن
eden,ادن
distant,غیر صمیمی
incl,شامل
champagne,شامپاین
ala,علاء
decimal,اعشاری
hq,HQ
deviation,انحراف
superintendent,سرپرست
propecia,قید
dip,غرق شدن
nbc,NBC
samba,سامبا
hostel,خوابگاه
housewives,زنان خانه دار
employ,کار کردن
mongolia,مغولستان
penguin,پنگوئن
magical,جادویی
influences,تأثیرات
inspections,بازرسی
irrigation,آبیاری
miracle,معجزه
manually,به صورت دستی
reprint,چاپ مجدد
reid,باسن
wt,دنباله
hydraulic,وابسته به هیدرولیکی
centered,محور
robertson,رابرتسون
flex,خم شدن
yearly,سالانه
penetration,نفوذ
wound,زخمی
belle,دختر بزرگ
rosa,روزا
conviction,اعتقاد
hash,هش
omissions,حذف
writings,نوشته ها
hamburg,هامبورگ
lazy,تنبل
mv,MV
mpg,MPG
retrieval,بازیابی
qualities,خصوصیات
cindy,سندی
lolita,لولیتا
fathers,پدران
carb,کربوهیدر
charging,شارژ
cas,کاس
marvel,شگفت
lined,روکش شده
cio,سعادت
dow,غوغا
prototype,نمونه اولیه
importantly,مهمتر
rb,RB
petite,ریزه اندام
apparatus,دستگاه
upc,یدک
terrain,زمین
dui,دوی
pens,قلم
explaining,توضیح دهنده
yen,شخص
strips,نوزاد
gossip,شایعات
rangers,رنجرز
nomination,نامزدی
empirical,تجربی
mh,مگس
rotary,چرخشی
worm,کرم
dependence,وابستگی
discrete,گسسته
beginner,مبتدی
boxed,جعبه دار
lid,درب
sexuality,جنسیت
polyester,پلی استر
cubic,مکعب
deaf,کر
commitments,تعهدات
suggesting,پیشنهاد
sapphire,یاقوت کبود
kinase,کیناز
skirts,دامن
mats,حصیر
remainder,باقی مانده
crawford,کرافورد
labeled,دارای برچسب
privileges,امتیازات
televisions,تلویزیون
specializing,متخصص
marking,علامت گذاری
commodities,کالاها
pvc,پی وی سی
serbia,صربستان
sheriff,کلانتر
griffin,گریفین
declined,نپذیرفتن
guyana,گویانا
spies,جاسوسی
blah,جبهه
mime,تقلید
neighbor,همسایه
motorcycles,موتور سیکلت
elect,برگزیدن
highways,بزرگراه
thinkpad,Thinkpad
concentrate,تمرکز
intimate,صمیمی
reproductive,تولید مثل
preston,پیشوای
deadly,مرگبار
cunt,قصبه
feof,فحش
bunny,خرگوش کوچک
chevy,چوگان
molecules,مولکول ها
rounds,گرد
longest,طولانی ترین
refrigerator,یخچال
tions,تطابق
intervals,فواصل
sentences,جمله ها
dentists,دندانپزشکان
usda,USDA
exclusion,محرومیت
workstation,ایستگاه کاری
holocaust,هولوکاست
keen,تیز
flyer,پروانه دار
peas,نخود فرنگی
dosage,مقدار مصرف
receivers,گیرنده
urls,نشانی اینترنتی
customize,شخصی سازی
disposition,وضع
variance,واریانس
navigator,ناوگان
investigators,محققان
cameroon,کامرون
baking,پخت
marijuana,ماری جوانا
adaptive,انطباقی
computed,محاسبه شده
needle,سوزن
baths,حمام
enb,ENB
gg,GG
cathedral,کلیسای جامع
brakes,ترمز
og,اوگ
nirvana,نیروانا
ko,ko
fairfield,گودال
owns,مالک
til,قند
invision,دعوت
sticky,چسبناک
destiny,سرنوشت
generous,سخاوتمند
madness,جنون
emacs,Emacs
climb,بالا رفتن
blowing,دمنده
fascinating,شگفت انگیز
landscapes,مناظر طبیعی
heated,گرم شده
lafayette,لافایت
jackie,جکی
wto,WTO
computation,محاسبات
hay,یونجه
cardiovascular,قلبی عروقی
ww,WW
sparc,چالاک
cardiac,قلبی
salvation,نجات
dover,غوغا
adrian,آدریان
predictions,پیش بینی
accompanying,مشایعت
vatican,واتیکان
brutal,بی رحم
learners,یادگیرنده
gd,gd
